organisasjonsnummer,navn,organisasjonsform.kode,organisasjonsform.beskrivelse,naeringskode1.kode,naeringskode1.beskrivelse,naeringskode2.kode,naeringskode2.beskrivelse,naeringskode3.kode,naeringskode3.beskrivelse,hjelpeenhetskode.kode,hjelpeenhetskode.beskrivelse,harRegistrertAntallAnsatte,antallAnsatte,hjemmeside,postadresse.adresse,postadresse.poststed,postadresse.postnummer,postadresse.kommune,postadresse.kommunenummer,postadresse.land,postadresse.landkode,forretningsadresse.adresse,forretningsadresse.poststed,forretningsadresse.postnummer,forretningsadresse.kommune,forretningsadresse.kommunenummer,forretningsadresse.land,forretningsadresse.landkode,institusjonellSektorkode.kode,institusjonellSektorkode.beskrivelse,sisteInnsendteAarsregnskap,registreringsdatoenhetsregisteret,stiftelsesdato,registrertIMvaRegisteret,frivilligMvaRegistrertBeskrivelser,registrertIFrivillighetsregisteret,registrertIForetaksregisteret,registrertIStiftelsesregisteret,konkurs,konkursdato,underAvvikling,underAvviklingDato,underTvangsavviklingEllerTvangsopplosning,tvangsopplostPgaManglendeDagligLederDato,tvangsopplostPgaManglendeRevisorDato,tvangsopplostPgaManglendeRegnskapDato,tvangsopplostPgaMangelfulltStyreDato,tvangsavvikletPgaManglendeSlettingDato,overordnetEnhet,maalform,vedtektsdato,vedtektsfestetFormaal,aktivitet
"915990347","DRÅPEN I HAVET","FLI","Forening/lag/innretning","94.991","Aktiviteter i andre interesseorganisasjoner ikke nevnt annet sted","","","","","","","true","","www.drapenihavet.no","c/o Jacobsen/nHammerstadveien 9","STABEKK","1369","BÆRUM","3201","Norge","NO","","","","","","","","7000","Ideelle organisasjoner","","2015-10-07","2015-10-05","true","","true","false","false","false","","false","","false","","","","","","","Bokmål","","","Dråpen i Havet skal ha til formål å yte støtte til mennesker på flukt, og da med hovedfokus på å hjelpe barn og deres mødre."
"981605969","DR ODD WATHNE","ENK","Enkeltpersonforetak","86.211","Allmenn legetjeneste","","","","","","","false","","","","","","","","","","c/o Wathne Odd/nMellemveien 4","HØVIK","1363","BÆRUM","3201","Norge","NO","8200","Personlig næringsdrivende","","2000-03-06","","false","","false","false","false","false","","false","","false","","","","","","","Bokmål","","","Medisin; almenpraksis som lege, rådgivnings- og kursvirksomhet samt akuttvikariater innen medisin."
"830835962","TOFTAKER CONTENT","ENK","Enkeltpersonforetak","73.110","Reklamebyråer","","","","","","","false","","","","","","","","","","Symreveien 25","LØRENSKOG","1470","LØRENSKOG","3222","Norge","NO","8200","Personlig næringsdrivende","","2023-02-16","","true","","false","false","false","false","","false","","false","","","","","","","Bokmål","","","Salg av tjenester, bilder og videoer til reklame og sosiale medier."
"922222207","OTTER PRODUCTIONS AS","AS","Aksjeselskap","62.010","Programmeringstjenester","","","","","","","false","","","","","","","","","","c/o Anne Oterholm/nBrochmanns gate 12C","OSLO","0470","OSLO","0301","Norge","NO","2100","Private aksjeselskaper mv.","2022","2019-02-14","2019-01-29","false","","false","true","false","false","","false","","false","","","","","","","Bokmål","2019-01-29","Utvikling av IT-tjenester og arrangement planlegging.","Utvikling av IT-tjenester og arrangement planlegging."
"914990637","HS RETAIL LILLEHAMMER AS","AS","Aksjeselskap","47.190","Butikkhandel med bredt vareutvalg ellers","","","","","","","true","9","","","","","","","","","Solfjellveien 75","HEGGEDAL","1389","ASKER","3203","Norge","NO","2100","Private aksjeselskaper mv.","2022","2015-02-18","2015-01-14","true","","false","true","false","false","","false","","false","","","","","","","Bokmål","2015-01-14","Detaljhandel.","Butikk/detaljhandel. Søstrene Grene butikk. Salg av leker, hobby artikler, noe matvarer, interiør mv."
"927900688","TEMMA AS","AS","Aksjeselskap","71.129","Annen teknisk konsulentvirksomhet","","","","","","","true","","","","","","","","","","Holtelisvingen 16","DOKKA","2870","NORDRE LAND","3448","Norge","NO","2100","Private aksjeselskaper mv.","2022","2021-10-21","2021-09-17","true","","false","true","false","false","","false","","false","","","","","","","Bokmål","2021-09-17","Teknisk rådgivning og salg samt annet som naturlig faller sammen med dette.","Teknisk rådgivning og salg av tekniske smøremidler, samt annet som naturlig faller sammen med dette."
"898515362","VETERINÆR SANDVE AS","AS","Aksjeselskap","75.000","Veterinærtjenester","","","","","","","true","","","","","","","","","","Ulveveien 28","ALTA","9512","ALTA","5601","Norge","NO","2100","Private aksjeselskaper mv.","2022","2012-06-19","2012-06-01","true","","false","true","false","false","","false","","false","","","","","","","Bokmål","2012-10-05","Å drive veterinærtjenester,hundekjøring,gårdsdrift,salg av fór,andre dyreprodukter, hundeutstyr,salg og produksjon av gårdsprodukter,utleie av lokaler og annet som naturlig hører under dette, herunder investeringer og deltakelse i andre selskap med lignende virksomhet.","Veterinærtjenester."
"938726027","MELHUS KOMMUNE","KOMM","Kommune","84.110","Generell offentlig administrasjon","","","","","","","true","2455","www.melhus.kommune.no/","Postboks 55","MELHUS","7221","MELHUS","5028","Norge","NO","Rådhusvegen 2","MELHUS","7224","MELHUS","5028","Norge","NO","6500","Kommuneforvaltningen","2006","1995-06-07","","true","Utleier av bygg eller anlegg","false","false","false","false","","false","","false","","","","","","","Bokmål","","","Kommune"
"830004572","BÆRUM KOMMUNE SKOLE 2","ORGL","Organisasjonsledd","84.120","Offentlig administrasjon tilknyttet helsestell, sosial virksomhet, undervisning, kirke, kultur og miljøvern","","","","","","","true","1940","","Postboks 700","SANDVIKA","1304","BÆRUM","3201","Norge","NO","Rådhustorget 4","SANDVIKA","1337","BÆRUM","3201","Norge","NO","6500","Kommuneforvaltningen","","2022-10-08","","false","","false","false","false","false","","false","","false","","","","","","935478715","Bokmål","","","Skolevirksomhet"
"937817894","CC PARFYME AS","AS","Aksjeselskap","47.750","Butikkhandel med kosmetikk og toalettartikler","","","","","","","true","8","","","","","","","","","Tomtegata 36","DRAMMEN","3012","DRAMMEN","3301","Norge","NO","2100","Private aksjeselskaper mv.","2022","1995-02-19","1986-01-02","true","","false","true","false","false","","false","","false","","","","","","","Bokmål","2022-12-02","Handel, hudpleie samt alt som dermed står i forbindelse.","Handel, hudpleie samt alt som dermed står i forbindelse."
